Customer,Date,Review
"Ranajn of Other, Other"," Aug. 22, 2019","Hi. I just to brief my experience with MakeMyTrip.com. Just few months back I have to travel on urgent basis to Lucknow. I just started searching for Flight ticket to Lucknow from Dehradun for very next day. After searching various travelling agency portal, I got best price from MakeMyTrip.com around Rs 2500. Their customer support was good. Definitely I will recommend MakeMyTrip TO OTHERS. Ranjan"
"Vishal of Ahmedabad, Other"," June 10, 2019","Hi! I am Vishal **, A Research Scientist and Anesthesiologist. I want to share my memorable experience with MakeMyTrip and would love to recommend people for the same. The flight tickets were so cheap other than any other websites and tremendous so friendly support from Customer care. I had missed my flight due to visa issues and I was traveling to South Korea in a Very important International Conference. I missed the flight and the next flights were so costly to purchase around 1 lakh and more. The airlines were suspended my tickets and it was also non-refundable. I was stuck at Delhi Airport!"
"nishith of Other, Other"," June 7, 2019","I had planned a trip on 7 June to a resort for two days (9 June to 11 June). During my booking by mistake I put 1 day prior to actual departure (8 June to 10 June). I called the hotel but they refused to help as the booking was online. Now since the booking was one day before, cancellation and modification option was already gone. I emailed the customer care but according to rules it was showing extra charges (same cost of two days again). Then I called the customer care number on the booking voucher, they talked to the hotel and changed the dates accordingly, mailing me the new voucher. The process was easy and smooth. I was so afraid that I have screwed up, but the guy on the phone really helped me. Thanks Suravjeet!"
Preeti of India," Feb. 15, 2019",I was awestruck by their concern and service. We had made a booking via Make My Trip for our Vizag tour. However our hotel cancelled our booking within hours of our reaching. But MMT team helped us throughout and made another booking within 1 hour time and that too in one of the best hotels in Vizag. We are very happy with the MMT service.
"Ayushi of India, Other"," Jan. 19, 2019","Perfect place for stay in Mussoorie. Beautiful construction and location. Soft spoken and cooperative staff. Clean and well-maintained rooms and hygienic and clean washrooms. Food is tasty. Overall stay is great. Would love to stay here on my next visit. For people searching for cleanliness in a hotel stay, this is the right place."
"Sonal of Delhi, Other"," Aug. 30, 2019","MakeMyTrip your 24 hour support services is a big time failure. When the customer calls for a complaint you put us on hold for like 30 min saying that it is been routed to concerned person and every time the person needs next 24 hrs to find a solution. Today after 5 days, still the issue is not resolved and the concerned person appointed who is the SUPERVISOR is now not coming on calls even after reminder mails to him. To add to this, your customer support team has no understanding and knowledge of how to handle such requests."
"Elyas of Dubai, Other"," Aug. 26, 2019",Stay away from makemytrip as they charged me more than what was shown on the screen and would not admit their mistake. They have fraudulently charged me extra for flights that I did not agree to. They charged 7% higher than the actual display amount!
"Kabir of Varanasi, Other"," Aug. 26, 2019",My booking Id **. This is worst tour Co. as they charged as per discussion but failed the commitments made as after reaching destination they denied for many things mentioned in their itineraries and wasted my money and ruined trip and not responded contact. Ram ** choose MMT agency for the best trip and can enjoy my trip without any intention of getting the thing arranged and managing my trip but I felt it was the worst trip of my life as per personally I could have planned much better trip by myself. So I will write in points whatever I had issues with the trip:-
"Joe of Fredericton, NB"," Aug. 21, 2019","I would've put No stars. I will never book their online booking again, if you want to make any changes it's a nightmare. The support phones will never be answered. Please stay away from this website. The deals are also not good. I had to finally cancel my booking and pay cancellation charges. Worst experience ever. PLEASE AVOID AT ALL COST."
"Jaideep of Oakland, CA"," Aug. 20, 2019","MakeMyTrip automatically adds extra charges to your booking WITHOUT CONSUMER CONSENT. The consumer only gets to know of these charges AFTER their credit card is charged. By which time it is too late to cancel, because those charges are NON-REFUNDABLE. THIS IS FRAUD. Always better to book airline tickets DIRECTLY from the airline website."
"Anuradha of Houston, TX"," Aug. 18, 2019","Do not use MakeMyTrip for train reservation. Even if your reservation does not get confirmed, you will not be able to cancel and you will not get your money back. MakeMyTrip.com steals your money. Indian railway will return your full fare but MakeMyTrip steals it."
"Ajit of Kolkata, Other"," Aug. 15, 2019","The biggest mistake I made for this trip was to book a package through MakeMyTrip.com. I have been a loyal MakeMyTrip customer for more than 15 years. This led me to make a package tour booking from your organization. After my trip, I can safely say this was the worst mistake of my life. With your kind of incompetent customer care, you can very well call my trip as SpoilMyTrip.com. "
"Dipakkumar of Other, Other"," Aug. 14, 2019","My self Dipak **, Yesterday night i.e 13th Aug, 2019 I booked 1 room at Meera Hotel, Mount Abu, Rajasthan from MakeMyTrip website and I also done online payment. After my booking I called the Hotel manager on number (9414201829) which is given on my Booking receipt for just to confirm my booking, but He replied that they are not booking rooms online by any website whether it is MakeMyTrip or Goibibo etc.. Further I told him that, ""then why your hotel is showing in MakeMyTrip website and also I got your number from the booking receipt."" I also told him to refund my money which is INR 5292/- for 3 nights (15th Aug to 17th Aug). My checkout date is 18th Aug. On this he replied that, ''You can take your refund from Makemytrip, I am not responsible for this refund."""
"Jyoti of Jayanagar, Other"," Aug. 12, 2019","You cannot rely on MMT for Visa. Before applying for my Singapore Visa, I inquired for the time it will take for getting Visa as I needed to travel to another country. They assured me that if I apply on 24th Jul, I will get my Visa by 5th Aug. I applied for Visa on 24th Jul and it's been three weeks since then and I haven't received it. They requested unnecessary documents and kept my Visa application on hold. Whenever I keep calling them, they would say that it will come in a week! The application shows that my Visa application is cancelled. The Singapore Visa department is horrible. Very bad customer service."
"Nikhil of Woodinville, WA"," Aug. 12, 2019","I made a flight booking for wrong date on MakeMyTrip.com. Realized my mistake within minutes and immediately called them to change the dates. MakeMyTrip 1-800 customer care does not connect from USA. Landline has IVR that would not take my US phone number for existing booking. Chat bot sucks. They responded on Twitter and Facebook promising to contact me asap. After 10 hours of anxiety and wait I finally reached the airline directly and they helped by cancelling the itinerary with FULL REFUND. If more time had passed, the airline would not allow any refunds for cancellation after 24 Hour window."
"Ravi of Other, Other"," Aug. 11, 2019",MakeMyTrip is very poor in customer service as well as they always try to cheat you. When you book ticket and want to cancel it They don't provide any help. Their customer service is pathetic. I will suggest to not to use it.
"MEET of MADHAPAR, Other"," Aug. 11, 2019","Please note I had made booking in Pachmarhi for 10th and 11th 2 room. Due to heavy rain I had cancelled my plan on 9th and contacted customer care number on 9th but MakeMyTrip is not responding at all. They are just delaying the matter and on 10th I had received call from hotel stating that, ""MakeMyTrip has not cancelled or extended your booking so we cannot do anything in this case."" I have paid full amount of rs. 7100 in advance and the money has gone totally I think. This is just how MakeMyTrip is creating big money off customers."
"Gayathri of Madurai, Other"," Aug. 11, 2019","Hi... I am a solo traveler and booked my trip to Nepal. The hotel that was recommended as part of package wasn't good and few of my friends who visited gave a negative feedback. I contacted the agent to change the hotel and was following for 2 days, it didn't get resolved. I am really upset and doesn't have an option to cancel as it's told to me that package is totally non-refundable."
"Kapil of Gwalior, Other"," Aug. 9, 2019","I would like to share my experience for my recently hotel booking in Bhopal. Hotel name is RnB Bhopal. I booked the rooms through MMT. Rooms were small, stinking of stale smoke and musty odour of wood and paint. The walls were damp with peeling paint. Floors were dirty with equally dirty foot mat. The linen was dirty, yellowed and the towels were of poor quality. The bathroom was small, and had poor hygiene, with broken accessories I would not recommend for families. Picture shown on site does not match with actual property. I have pictures as a proof. Would not suggest to use MakeMyTrip. Better user Goibibo.."
"Muthu of Other, Other"," Aug. 8, 2019","We booked a hotel booking in MakeMyTrip website but hotel denied entry and told me they don’t accept MMT CUSTOMER. ME WITH MY WIFE, 2 year son and 6 year daughter were just standing in road. We called customer care people. Nobody gave adequate information and refused to do alternate hotel. 4 hours we suffered calling them because but no reply. Long call waiting. Never ever again with MAKEMYTRIP. IT'S COMPLETE WASTE AND FRAUD. STRICT ACTION SHOULD BE TAKEN AGAINST MAKEMYTRIP...."
"Manisha of Delhi, Other"," Aug. 2, 2019",They are sitting only for money sake. Their services are below poor. They don't value their customers. We were 3 families and took 3 rooms for 2 days still they had no value for customer. Will never suggest anybody to try this hotel ever..Poor staff. They need training on how to treat customers otherwise they will shut down soon..
