Customer,location,Review
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
Deepa_Krishnan,"Mumbai, India","I've used them multiple times, no problem at all. They didn't ask me for the credit card copy. Mine is an Indian card of course. I don't think its a dodgy site.I've used them multiple times, no problem at all. They didn't ask me for the credit card copy. Mine is an Indian card of course. I don't think its a dodgy site."
RatnaPrasad,"Hyderabad, India",Considering large scale fraud transactions on International Credit Cards all of Airlines websites and Travel Portals are validating on case to case basis which are specific to International Credit Cards only. No harm in sending it its a large travel portal in India.
brave1,"Kolkata, India",Makemytrip is one of the leading Indian travel portals. Used them couple times myself also. They are a bit cautious about foreign cards to avoid fraud. Don't worry about it. Makemytrip is one of the leading Indian travel portals. Used them couple times myself also. They are a bit cautious about foreign cards to avoid fraud. Don't worry about it. 
M s,"Bodh Gaya, India",www.makemytrip.comwww.yatra.comwww.travinfoindia.comwww.travelguru.comwww.cleartrip.comall these company are very known for providing online travel services and due to large scale of fraud cases they accept international credit card with care....some of these companies even don't accepting..Thankswww.makemytrip.comwww.yatra.comwww.travinfoindia.comwww.travelguru.comwww.cleartrip.comall these company are very known for providing online travel services and due to large scale of fraud cases they accept international credit card with care....some of these companies even don't accepting..Thanks
bpinheiro,Houston Texas,"I regularly buy tickets from them. No problems at al. They are a reliable and trusted site.They probablyt are only protecting the card holder from fraud, therefore asking for the scanned copy of the credit card. Make sure it is makemytrip.com asking you for yourcredit card scans. You can contact them on their phone number on the website, its 1800... something, give them the makemy trip reference number and other details athey will confirm.I regularly buy tickets from them. No problems at al. They are a reliable and trusted site.They probablyt are only protecting the card holder from fraud, therefore asking for the scanned copy of the credit card. Make sure it is makemytrip.com asking you for yourcredit card scans. You can contact them on their phone number on the website, its 1800... something, give them the makemy trip reference number and other details athey will confirm."
vipgarg,"Columbus, Ohio","Do not use this company for your travel needs. They will book your travel plans, charge your credit card and then cancel at the last minute without any good reason. Plus they have very poor customer service. They actually hung up on me when they couldn't give me an answer. AVOID!!!Do not use this company for your travel needs. They will book your travel plans, charge your credit card and then cancel at the last minute without any good reason. Plus they have very poor customer service. They actually hung up on me when they couldn't give me an answer. AVOID!!!"
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
K_Yogi,"New Delhi, India",makemytrip is good for booking airtickets only.of late many complaints have been reported about problems in hotel booking with them.makemytrip is good for booking airtickets only.of late many complaints have been reported about problems in hotel booking with them.
brave1,"Kolkata, India","Yes, that seems to be the case. They are getting poor press of late.I have used www.ezeego1.com for all my recent bookings (air+hotel) and have been very satisfied with the interaction so far. Not to say they are perfect, but possibly a good option to book with.Yes, that seems to be the case. They are getting poor press of late.I have used www.ezeego1.com for all my recent bookings (air+hotel) and have been very satisfied with the interaction so far. Not to say they are perfect, but possibly a good option to book with."
K_Yogi,"New Delhi, India",In my opinion www.ixigo.com is also another good website to book air tickets..In my opinion www.ixigo.com is also another good website to book air tickets..
J49PG,San Francicso,I have india booking for this November and December - and MAKEMYTRIP SUCKS!!! i will never use them again. They gave me tickets telling me that they are confirmed but they are not. I have dealt with 5-6 customer service reps and all of them are rude and useless...I WILL NOT BOOK WITH THEM EVER - DONT GIVE THEM YOUR CC. Puja San FranciscoI have india booking for this November and December - and MAKEMYTRIP SUCKS!!! i will never use them again. They gave me tickets telling me that they are confirmed but they are not. I have dealt with 5-6 customer service reps and all of them are rude and useless...I WILL NOT BOOK WITH THEM EVER - DONT GIVE THEM YOUR CC. Puja San Francisco
scraut,Pune,"Hi all,Recently I had booked ticket from makemytrip.comThat day itself i got a notification that my ticket is booked, and after 13 days i received one more message saying ticket could not booked coz of some connection issue by MAKEMYTRIP.so anyone knows is it a valid stuff, of this makemytrip guys are playing some trik, as i got complete refund, but again to book the same ticket now, i have to pay extra 7,000.please let me knowHi all,Recently I had booked ticket from makemytrip.comThat day itself i got a notification that my ticket is booked, and after 13 days i received one more message saying ticket could not booked coz of some connection issue by MAKEMYTRIP.so anyone knows is it a valid stuff, of this makemytrip guys are playing some trik, as i got complete refund, but again to book the same ticket now, i have to pay extra 7,000.please let me know"
murali1234,new york,"This is the worst travel agent i have heard. always 200$ extra than the local us travel agents and also the service sucks......if you really want a ticket, from usa try out local agents they are the best.hariworld travel, alanita travels, chase travels etc....This is the worst travel agent i have heard. always 200$ extra than the local us travel agents and also the service sucks......if you really want a ticket, from usa try out local agents they are the best.hariworld travel, alanita travels, chase travels etc...."
